127.0.0.1 - - [30/May/2023:15:01:31 +0900] "GET / HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:31 +0900] "GET /index.jsp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:33 +0900] "GET /mem/signIn HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:34 +0900] "POST /mem/login HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:35 +0900] "GET /brd/page HTTP/1.1" 200 6574
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:35 +0900] "GET /_fileUpload/th_1685003379030%EB%B9%84%EB%B9%94%EB%B0%A5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:35 +0900] "GET /_fileUpload/th_1684985455643_KakaoTalk_20230516_123455224.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:38 +0900] "GET /brd/detail?num=142&title=123%EC%9D%B4%EC%93%B4%EA%B8%802&writer=123&detail=2%EB%B2%88%EC%A7%B8&regdate=2023-05-24%2015:18:24&counter=5&image= HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:38 +0900] "GET /resources/board_detail.js HTTP/1.1" 200 5096
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:38 +0900] "GET /cmt/list/142 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:42 +0900] "POST /cmt/post HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:42 +0900] "GET /cmt/list/142 HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:43 +0900] "POST /cmt/modify HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:44 +0900] "GET /cmt/list/142 HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:45 +0900] "POST /cmt/remove?cnoVal=34 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/May/2023:15:01:46 +0900] "POST /cmt/remove?cnoVal=34 HTTP/1.1" 200 -
